timestamp,item_id,item_name,item_type,parent_id,quantity,lead_time,cost,supplier,inventory,min_stock,assembly_time
2024-04-12 09:15:00,LM000,Advanced Lithography Machine,final_product,,1,197,15381007,OurCompany,5,1,0
2023-09-12 14:30:00,OS001,Optical System,subsystem,LM000,1,83,5164874,OpticsCorp,3,1,43
2023-12-07 11:45:00,WS002,Wafer Stage,subsystem,LM000,1,65,2056530,MotionTech,2,1,37
2024-06-20 08:00:00,CS003,Control System,subsystem,LM000,1,49,959492,ControlSolutions,5,1,25
2024-02-20 16:20:00,FR004,Frame,component,LM000,1,28,521700,StructureCo,7,3,13
2023-10-13 10:00:00,LN005,Lens Assembly,component,OS001,1,41,972828,PrecisionOptics,1,1,22
2024-04-28 13:15:00,LS006,Light Source,component,OS001,1,32,520303,LaserTech,4,1,7
2024-02-04 09:30:00,MR007,Mirror Set,component,OS001,1,21,196568,ReflectCo,8,3,16
2023-08-10 07:45:00,MT008,High-Precision Motor,component,WS002,3,16,48499,MotorWorks,19,8,12
2023-12-16 15:00:00,SN009,Position Sensor,component,WS002,1,10,19401,SensorTech,27,12,5
2024-05-05 14:30:00,CP010,Industrial Computer,component,CS003,1,21,100265,CompTech,7,2,4
2023-12-15 10:00:00,SW011,Control Software Package,component,CS003,1,4,502118,SoftwareSolutions,9,5,2
2023-11-26 09:15:00,LM012,Advanced Lithography Machine,final_product,,1,177,15744695,OurCompany,3,2,0
2023-10-09 14:30:00,OS013,Optical System,subsystem,LM000,1,91,5210243,OpticsCorp,2,1,44
2024-04-20 11:45:00,WS014,Wafer Stage,subsystem,LM000,1,59,1987872,MotionTech,3,2,38
2023-12-30 08:00:00,CS015,Control System,subsystem,LM000,1,43,983693,ControlSolutions,3,1,26
2024-02-02 16:20:00,FR016,Frame,component,LM000,1,27,492641,StructureCo,7,2,12
2024-04-16 10:00:00,LN017,Lens Assembly,component,OS001,1,42,1036598,PrecisionOptics,1,1,22
2024-06-17 13:15:00,LS018,Light Source,component,OS001,1,29,491609,LaserTech,5,2,7
2023-11-12 09:30:00,MR019,Mirror Set,component,OS001,1,20,201037,ReflectCo,7,4,14
2023-09-24 07:45:00,MT020,High-Precision Motor,component,WS002,4,14,49843,MotorWorks,16,8,11
2023-10-26 15:00:00,SN021,Position Sensor,component,WS002,2,10,20656,SensorTech,35,10,5
2023-10-13 14:30:00,CP022,Industrial Computer,component,CS003,1,18,103303,CompTech,10,2,4
2023-12-19 10:00:00,SW023,Control Software Package,component,CS003,1,4,505231,SoftwareSolutions,9,5,2
2024-04-11 09:15:00,LM024,Advanced Lithography Machine,final_product,,1,170,15215346,OurCompany,6,1,0
2023-08-05 14:30:00,OS025,Optical System,subsystem,LM000,1,91,5072390,OpticsCorp,3,1,47
2024-02-14 11:45:00,WS026,Wafer Stage,subsystem,LM000,1,54,1942984,MotionTech,4,1,35
2024-02-28 08:00:00,CS027,Control System,subsystem,LM000,1,48,1049153,ControlSolutions,4,2,22
2024-07-09 16:20:00,FR028,Frame,component,LM000,1,27,524862,StructureCo,7,2,11
2024-06-15 10:00:00,LN029,Lens Assembly,component,OS001,1,43,1031096,PrecisionOptics,2,1,25
2024-03-05 13:15:00,LS030,Light Source,component,OS001,1,30,490502,LaserTech,4,2,8
2023-09-11 09:30:00,MR031,Mirror Set,component,OS001,2,18,206627,ReflectCo,9,4,16
2023-11-18 07:45:00,MT032,High-Precision Motor,component,WS002,4,14,51933,MotorWorks,16,7,11
2024-01-10 15:00:00,SN033,Position Sensor,component,WS002,2,9,19661,SensorTech,38,12,6
2024-03-23 14:30:00,CP034,Industrial Computer,component,CS003,1,20,101464,CompTech,8,3,3
2024-03-03 10:00:00,SW035,Control Software Package,component,CS003,1,4,483439,SoftwareSolutions,12,5,2
2024-04-22 09:15:00,LM036,Advanced Lithography Machine,final_product,,1,194,14898802,OurCompany,5,1,0
2024-04-09 14:30:00,OS037,Optical System,subsystem,LM000,1,91,4873499,OpticsCorp,2,1,47
2023-10-13 11:45:00,WS038,Wafer Stage,subsystem,LM000,1,56,2019161,MotionTech,5,1,32
