item_id,item_name,item_type,parent_id,quantity,lead_time,cost,supplier,inventory,min_stock,assembly_time,distributor,transport_method,transport_cost,transport_time,timestamp
FP002,Final_product FP002,final_product,DUMMY_PARENT,4,200,21001382,Supplier_024,3,2,3,Distributor_011,Rail,194,7,2017-05-18 12:48:57
FP018,Final_product FP018,final_product,DUMMY_PARENT,3,217,11027635,Supplier_019,6,2,11,Distributor_004,Sea Freight,2676,10,2014-12-14 02:17:03
FP005,Final_product FP005,final_product,DUMMY_PARENT,5,216,10378955,Supplier_005,5,1,69,Distributor_013,Rail,5073,4,2010-06-07 14:09:43
FP004,Final_product FP004,final_product,DUMMY_PARENT,2,204,13842695,Supplier_027,6,4,27,Distributor_005,Rail,763,23,2010-10-25 06:25:01
SY010,System SY010,system,FP002,3,109,8147167,Supplier_021,3,4,62,Distributor_014,Truck,6287,30,2010-06-15 02:29:07
SS002,Subsystem SS002,subsystem,SY010,1,68,1526237,Supplier_018,10,4,9,Distributor_010,Rail,1561,22,2013-05-28 15:40:55
CP018,Component CP018,component,SS002,1,31,415395,Supplier_004,24,3,31,Distributor_014,Truck,7391,17,2018-09-17 14:21:16
SC004,Subcomponent SC004,subcomponent,CP018,1,9,38437,Supplier_003,49,5,45,Distributor_006,Sea Freight,1299,18,2015-07-12 23:53:50
SY017,System SY017,system,FP018,4,93,7791792,Supplier_015,4,2,26,Distributor_008,Air Freight,8014,4,2019-07-29 03:14:49
SS020,Subsystem SS020,subsystem,SY017,5,35,1008810,Supplier_014,11,5,2,Distributor_011,Truck,2390,27,2020-05-04 10:18:04
CP007,Component CP007,component,SS020,2,17,331709,Supplier_035,26,4,31,Distributor_004,Rail,1952,8,2021-08-06 22:22:14
SC013,Subcomponent SC013,subcomponent,CP007,1,20,34205,Supplier_010,42,5,35,Distributor_012,Truck,6169,14,2016-01-24 05:09:54
SY002,System SY002,system,FP005,2,103,9113825,Supplier_026,2,1,37,Distributor_013,Rail,3719,16,2019-10-02 07:27:51
SS007,Subsystem SS007,subsystem,SY002,1,96,482243,Supplier_030,6,1,25,Distributor_007,Rail,7593,28,2021-11-16 00:35:59
CP008,Component CP008,component,SS007,4,17,451164,Supplier_033,22,2,33,Distributor_002,Air Freight,2932,10,2014-07-10 05:23:35
SC004,Subcomponent SC004,subcomponent,CP008,1,7,15943,Supplier_013,32,5,8,Distributor_001,Sea Freight,4294,11,2012-02-16 15:54:46
RM014,Raw_material RM014,raw_material,CP008,4,1,2138,Supplier_044,103,2,4,Distributor_006,Rail,6910,17,2011-03-25 18:28:02
SY018,System SY018,system,FP004,4,104,4189894,Supplier_028,6,1,43,Distributor_012,Rail,7525,10,2013-07-22 07:59:32
SS005,Subsystem SS005,subsystem,SY018,3,50,710391,Supplier_031,12,1,13,Distributor_011,Rail,2307,24,2013-06-19 05:47:57
CP003,Component CP003,component,SS005,3,35,279048,Supplier_012,17,2,54,Distributor_003,Rail,6721,18,2019-05-01 23:58:28
SC015,Subcomponent SC015,subcomponent,CP003,3,11,16118,Supplier_029,34,4,40,Distributor_001,Sea Freight,9368,23,2010-08-18 10:20:00
RM002,Raw_material RM002,raw_material,CP003,1,3,613,Supplier_004,52,1,65,Distributor_002,Sea Freight,7382,3,2017-06-10 06:01:19
SY001,System SY001,system,FP002,2,105,9462273,Supplier_018,4,5,72,Distributor_013,Truck,4390,20,2019-06-23 00:55:13
SS007,Subsystem SS007,subsystem,SY010,4,74,2120958,Supplier_021,9,1,33,Distributor_008,Air Freight,4557,17,2021-12-19 06:00:09
CP014,Component CP014,component,SS002,3,22,347248,Supplier_011,15,2,37,Distributor_009,Truck,4607,22,2016-05-23 04:40:01
SC009,Subcomponent SC009,subcomponent,CP018,3,7,37332,Supplier_028,33,4,24,Distributor_003,Sea Freight,8408,1,2015-06-15 06:07:27
SC018,Subcomponent SC018,subcomponent,CP014,1,5,53708,Supplier_018,27,1,3,Distributor_006,Truck,3829,18,2017-09-11 10:00:15
CP020,Component CP020,component,SS007,5,37,279200,Supplier_028,12,1,70,Distributor_005,Air Freight,2202,7,2013-04-09 10:07:37
SC008,Subcomponent SC008,subcomponent,CP020,3,15,16230,Supplier_021,36,2,7,Distributor_009,Air Freight,6967,17,2010-09-26 12:29:45
RM012,Raw_material RM012,raw_material,CP020,3,10,5567,Supplier_041,38,5,8,Distributor_008,Truck,593,4,2010-03-03 23:54:43
SS003,Subsystem SS003,subsystem,SY001,4,79,1816939,Supplier_008,13,3,7,Distributor_008,Rail,3901,28,2021-01-07 17:20:34
CP003,Component CP003,component,SS003,2,16,393145,Supplier_031,15,1,1,Distributor_009,Sea Freight,7339,14,2017-11-23 04:22:18
SC017,Subcomponent SC017,subcomponent,CP003,3,16,35903,Supplier_019,26,5,12,Distributor_010,Rail,8344,7,2011-04-11 09:59:12
SY016,System SY016,system,FP018,3,92,6628084,Supplier_029,4,2,53,Distributor_007,Air Freight,667,11,2020-12-22 21:29:47
SS014,Subsystem SS014,subsystem,SY017,1,66,848921,Supplier_023,11,3,43,Distributor_003,Rail,1896,2,2019-03-31 01:42:03
CP002,Component CP002,component,SS020,2,30,213517,Supplier_035,15,1,15,Distributor_012,Sea Freight,9021,11,2012-02-16 17:28:41
SC011,Subcomponent SC011,subcomponent,CP007,2,20,15391,Supplier_027,32,4,56,Distributor_009,Sea Freight,3580,23,2015-01-24 11:14:08
SC010,Subcomponent SC010,subcomponent,CP002,2,8,47408,Supplier_021,40,3,8,Distributor_014,Rail,3168,7,2015-12-27 05:31:44
RM006,Raw_material RM006,raw_material,CP002,5,3,1143,Supplier_007,53,5,32,Distributor_009,Truck,8413,22,2016-04-13 13:28:13
CP010,Component CP010,component,SS014,3,32,195716,Supplier_003,11,5,27,Distributor_004,Air Freight,1171,13,2011-03-25 08:01:53
SC008,Subcomponent SC008,subcomponent,CP010,4,9,22595,Supplier_015,49,1,23,Distributor_011,Sea Freight,5766,6,2016-12-11 20:31:46
SS020,Subsystem SS020,subsystem,SY016,4,60,1641582,Supplier_006,12,4,44,Distributor_004,Truck,4384,14,2013-05-03 11:53:41
CP013,Component CP013,component,SS020,1,32,62709,Supplier_018,30,1,2,Distributor_006,Air Freight,9532,13,2020-06-07 16:52:55
SC017,Subcomponent SC017,subcomponent,CP013,1,13,46695,Supplier_003,33,3,39,Distributor_001,Air Freight,6345,21,2015-12-23 06:31:49
RM013,Raw_material RM013,raw_material,CP013,1,4,2753,Supplier_022,69,4,29,Distributor_009,Sea Freight,1610,20,2015-01-12 23:44:20
SY007,System SY007,system,FP005,5,61,6055040,Supplier_029,6,5,35,Distributor_004,Sea Freight,9194,15,2021-11-28 10:49:30
SS009,Subsystem SS009,subsystem,SY002,3,44,1072314,Supplier_025,12,4,30,Distributor_003,Air Freight,4369,21,2019-01-09 19:11:03
CP002,Component CP002,component,SS007,3,36,302613,Supplier_002,15,2,70,Distributor_007,Rail,9985,19,2017-09-18 12:34:15
SC007,Subcomponent SC007,subcomponent,CP008,4,17,20665,Supplier_011,35,4,7,Distributor_009,Rail,2691,30,2018-05-07 17:42:44
SC010,Subcomponent SC010,subcomponent,CP002,1,11,16584,Supplier_040,27,3,42,Distributor_011,Truck,5713,24,2018-07-23 07:10:35
